167.33040772360968,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.29248883475435,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.41206882623797,['-1.67', '-0.67', '18.33', '0.41\r\n']
164.902850402988,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.1218534551868,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.57645346486618,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.29248883475435,['-1.67', '-0.67', '18.33', '0.41\r\n']
138.98548611571343,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.63557413959472,['-1.67', '-0.67', '18.33', '0.41\r\n']
172.26482667980943,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.97526387881717,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.66738205798572,['-1.67', '-0.67', '18.33', '0.41\r\n']
169.74802703468373,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.29248883475435,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.1636954282545,['-1.67', '-0.67', '18.33', '0.41\r\n']
166.77816215356475,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.31495323285546,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.76394430420976,['-1.67', '-0.67', '18.33', '0.41\r\n']
139.11456053067994,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.96818368183682,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.03705355333037,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.31750872827962,['-1.67', '-0.67', '18.33', '0.41\r\n']
162.31198483030843,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.90310488142777,['-1.67', '-0.67', '18.33', '0.41\r\n']
170.82653850853256,['-1.67', '-0.67', '18.33', '0.41\r\n']
163.23424790815335,['-1.67', '-0.67', '18.33', '0.41\r\n']
171.31495323285546,['-1.67', '-0.67', '18.33', '0.41\r\n']
168.80524811848514,['-1.83', '-0.67', '18.33', '0.41\r\n']
169.2070356624173,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.74739777681762,['-1.83', '-0.67', '18.33', '0.41\r\n']
149.0566118198941,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.06795960891168,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.8596159265671,['-1.83', '-0.67', '18.33', '0.41\r\n']
162.20527496326088,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.49862224964014,['-1.83', '-0.67', '18.33', '0.41\r\n']
167.19700231204655,['-1.83', '-0.67', '18.33', '0.41\r\n']
166.39441425000993,['-1.83', '-0.67', '18.33', '0.41\r\n']
163.80160899789112,['-1.83', '-0.67', '18.33', '0.41\r\n']
172.91820580474933,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.40536416927648,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.52767426352332,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.74092694422623,['-1.83', '-0.67', '18.33', '0.41\r\n']
146.60785067636058,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.26348938901592,['-1.83', '-0.67', '18.33', '0.41\r\n']
164.6956453449562,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.88681296557277,['-1.83', '-0.67', '18.33', '0.41\r\n']
168.63557413959472,['-1.83', '-0.67', '18.33', '0.41\r\n']
170.27866190321532,['-1.83', '-0.67', '18.33', '0.41\r\n']
165.45577909270216,['-1.83', '-0.67', '18.33', '0.41\r\n']
