Can bus setup done...
Succeful to send start motor command
Succeful to send start motor command
Succeful to send start motor command
16.00 13.33 -0.38 0.63 -1.16 1.86
16.00 13.33 -0.38 0.63 -1.16 1.83
16.00 13.33 -0.38 0.63 -1.13 1.83
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.08 1.80
16.00 13.33 -0.38 0.63 -1.05 1.84
16.00 13.33 -0.38 0.63 -0.98 1.81
16.00 13.33 -0.38 0.63 -1.02 1.84
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.14 1.83
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.16 1.81
16.00 13.33 -0.38 0.63 -1.16 1.81
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.06 1.83
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.08 1.84
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.09 1.81
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.09 1.81
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.08 1.83
16.00 13.33 -0.38 0.63 -1.11 1.86
16.00 13.33 -0.38 0.63 -1.06 1.84
16.00 13.33 -0.38 0.63 -1.08 1.83
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.08 1.83
16.00 13.33 -0.38 0.63 -1.08 1.81
16.00 13.33 -0.38 0.63 -1.06 1.83
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.09 1.83
16.00 13.33 -0.38 0.63 -1.06 1.83
16.00 13.33 -0.38 0.63 -1.00 1.86
16.00 13.33 -0.38 0.63 -1.11 1.86
16.00 13.33 -0.38 0.63 -1.08 1.92
16.00 13.33 -0.38 0.63 -1.08 1.94
16.00 13.33 -0.38 0.63 -1.08 1.91
16.00 13.33 -0.38 0.63 -1.06 1.84
16.00 13.33 -0.38 0.63 -1.05 1.80
16.00 13.33 -0.38 0.63 -1.09 1.77
16.00 13.33 -0.38 0.63 -1.13 1.77
16.00 13.33 -0.38 0.63 -1.13 1.73
16.00 13.33 -0.38 0.63 -1.11 1.72
16.00 13.33 -0.38 0.63 -1.17 1.81
16.00 13.33 -0.38 0.63 -1.16 1.83
16.00 13.33 -0.38 0.63 -1.20 1.92
16.00 13.33 -0.38 0.63 -1.19 1.91
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.02 1.83
16.00 13.33 -0.38 0.63 -1.02 1.84
16.00 13.33 -0.38 0.63 -0.95 1.84
16.00 13.33 -0.38 0.63 -0.98 1.81
16.00 13.33 -0.38 0.63 -1.09 1.86
16.00 13.33 -0.38 0.63 -1.09 1.84
16.00 13.33 -0.38 0.63 -1.11 1.89
16.00 13.33 -0.38 0.63 -1.16 1.84
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.13 1.86
16.00 13.33 -0.38 0.63 -1.11 1.83
16.00 13.33 -0.38 0.63 -1.06 1.84
16.00 13.33 -0.38 0.63 -1.06 1.84
16.00 13.33 -0.38 0.63 -1.11 1.86
16.00 13.33 -0.38 0.63 -1.16 1.86
16.00 13.33 -0.38 0.63 -1.16 1.84
16.00 13.33 -0.38 0.63 -1.14 1.84
16.00 13.33 -0.38 0.63 -1.16 1.91
16.00 13.33 -0.38 0.63 -1.14 1.78
16.00 13.33 -0.38 0.63 -1.13 1.88
16.00 13.33 -0.38 0.63 -1.17 1.84
16.00 13.33 -0.38 0.63 -1.14 1.91
16.00 13.33 -0.38 0.63 -1.13 1.88
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.11 1.88
16.00 13.33 -0.38 0.63 -1.13 1.86
16.00 13.33 -0.38 0.63 -1.14 1.86
16.00 13.33 -0.38 0.63 -1.11 1.81
16.00 13.33 -0.38 0.63 -1.13 1.86
16.00 13.33 -0.38 0.63 -1.16 1.86
16.00 13.33 -0.38 0.63 -1.08 1.92
16.00 13.33 -0.38 0.63 -1.13 1.89
16.00 13.33 -0.38 0.63 -1.13 1.91
16.00 13.33 -0.38 0.63 -1.13 1.88
16.00 13.33 -0.38 0.63 -1.11 1.84
16.00 13.33 -0.38 0.63 -1.09 1.84
16.00 13.33 -0.38 0.63 -1.13 1.84
16.00 13.33 -0.38 0.63 -1.13 1.81
16.00 13.33 -0.38 0.63 -1.13 1.81
