,,Xie0406:LASI,,,Xie0406:RASI,,,Xie0406:LPSI,,,Xie0406:RPSI,,,Xie0406:LTHI,,,Xie0406:LKNE,,,Xie0406:LTIB,,,Xie0406:LANK,,,Xie0406:LHEE,,,Xie0406:LTOE,,,Xie0406:RTHI,,,Xie0406:RKNE,,,Xie0406:RTIB,,,Xie0406:RANK,,,Xie0406:RHEE,,,Xie0406:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
23,0,,,,,,,,,,,,,,,,,,,9.86768,1875,330.402,,,,,,,254.77,1879.06,54.7838,97.3163,1393.33,442.201,,,,227.252,1346.77,57.7564,,,,,,,,,
24,0,,,,,,,,,,,,,,,,,,,10.1175,1874.85,330.514,,,,,,,254.786,1879.05,54.7005,100.553,1390.84,442.21,,,,226.865,1345.7,57.8334,,,,,,,,,
25,0,,,,,,,,,,,,,,,,,,,10.3757,1874.58,330.65,,,,,,,254.827,1879.06,54.6337,102.839,1388.77,441.916,,,,226.078,1343.83,57.9566,,,,,,,,,
26,0,,,,,,,,,,,,,,,,,,,10.7112,1874.22,330.809,,,,,,,254.854,1879.04,54.5611,105.88,1386.22,441.709,,,,224.97,1341.41,58.0042,,,,,,,,,
27,0,,,,,,,,,,,,,,,,,,,11.2375,1873.84,330.992,,,,,,,254.916,1879.03,54.4905,108.13,1383.87,441.621,,,,223.582,1338.9,58.1113,,,,,,,,,
28,0,,,,,,,,,,,,,,,,,,,11.7513,1873.26,331.257,,,,,,,254.961,1879.02,54.4343,109.215,1382.55,440.52,,,,222.051,1336.45,58.3579,,,,,,,,,
29,0,,,,,,,,,,,,,,,,,,,12.211,1872.56,331.504,,,,,,,255.034,1879.03,54.3777,110.565,1380.83,440.071,,,,220.785,1334.47,58.5914,,,,,,,,,
30,0,,,,,,,,,,,,,,,,,,,12.5135,1871.72,331.694,,,,,,,255.072,1879.04,54.3247,112.048,1378.68,438.457,,,,219.487,1332.95,58.7636,,,,,,,,,
31,0,,,,,,,,,,,,,,,,,,,13.1453,1870.85,332.079,,,,,,,255.129,1879.04,54.2668,112.916,1377.07,437.199,,,,218.468,1332.12,58.9795,,,,,,,,,
32,0,,,,,,,,,,,,,,,,,,,13.76,1869.9,332.488,,,,,,,255.178,1879.05,54.2189,113.578,1375.95,436.17,,,,217.978,1331.73,59.0404,,,,,,,,,
33,0,,,,,,,,,,,,,,,,,,,14.5272,1868.78,332.947,,,,,,,255.253,1879.06,54.1788,114.209,1375.16,435.597,,,,217.679,1331.47,58.9869,,,,,,,,,
34,0,,,,,,,,,,,,,,,,,,,15.1546,1867.58,333.283,,,,,,,255.301,1879.07,54.126,114.458,1374.34,434.332,,,,217.572,1331.22,59.0056,,,,,,,,,
35,0,,,,,,,,,,,,,,,,,,,16.1146,1866.3,333.805,,,,,,,255.386,1879.08,54.071,114.687,1373.35,433.352,,,,217.572,1331.02,58.9505,,,,,,,,,
36,0,,,,,,,,,,,,,,,,,,,16.9763,1864.91,334.347,,,,,,,255.46,1879.07,54.0016,114.964,1372.2,432.609,,,,217.632,1330.91,58.8385,,,,,,,,,
37,0,,,,,,,,,,,,,,,,,,,17.8854,1863.38,334.856,,,,,,,255.517,1879.07,53.927,115.105,1371.01,431.571,,,,217.698,1330.91,58.6965,,,,,,,,,
38,0,,,,,,,,,,,,,,,,,,,18.9115,1861.85,335.39,,,,,,,255.58,1879.08,53.864,115.415,1369.51,430.797,,,,217.743,1330.93,58.4919,,,,,,,,,
39,0,,,,,,,,,,,,,,,,,,,19.962,1860.18,336.016,,,,,,,255.665,1879.07,53.7891,115.896,1367.78,430.047,,,,217.748,1331,58.3406,,,,,,,,,
40,0,,,,,,,,,,,,,,,,,,,21.1584,1858.39,336.597,,,,,,,255.717,1879.05,53.6991,115.572,1366.24,428.087,,,,217.678,1331.1,58.2307,,,,,,,,,
41,0,,,,,,,,,,,,,,,,,,,22.4181,1856.57,337.251,,,,,,,255.792,1879.04,53.6125,116.073,1364.18,427.193,,,,217.579,1331.2,58.0614,,,,,,,,,
42,0,,,,,,,,,,,,,,,,,,,23.6602,1854.66,337.833,,,,,,,255.854,1879.03,53.5262,116.487,1362.12,426.373,,,,217.555,1331.32,57.7861,,,,,,,,,
43,0,,,,,,,,,,,,,,,,,,,25.0483,1852.72,338.434,,,,,,,255.91,1879.02,53.4441,116.863,1359.98,425.952,,,,217.579,1331.42,57.4384,,,,,,,,,
44,0,,,,,,,,,,,,,,,,,,,26.5565,1850.74,339.087,,,,,,,255.979,1879,53.3615,116.896,1357.75,425.68,,,,217.62,1331.39,57.1046,,,,,,,,,
45,0,,,,,,,,,,,,,,,,,,,28.3905,1848.86,339.76,,,,,,,256.03,1878.98,53.2613,116.264,1355.47,425.402,,,,217.611,1331.31,56.8421,,,,,,,,,
46,0,,,,,,,,,,,,,,,,,,,30.4039,1847.02,340.443,,,,,,,256.074,1878.97,53.2227,114.034,1353.97,424.599,,,,217.492,1331.22,56.6976,,,,,,,,,
47,0,,,,,,,,,,,,,,,,,,,32.7113,1845.17,341.156,,,,,,,256.135,1878.95,53.2355,112.648,1352.09,425.522,,,,217.261,1331.18,56.6423,,,,,,,,,
48,0,,,,,,,,,,,,,,,,,,,35.2831,1843.32,341.883,,,,,,,256.173,1878.94,53.2431,109.732,1350.85,424.726,,,,217,1331.2,56.6437,,,,,,,,,
49,0,,,,,,,,,,,,,,,,,,,38.2165,1841.48,342.517,,,,,,,256.207,1878.9,53.2302,106.678,1349.94,424.408,,,,216.783,1331.3,56.6486,,,,,,,,,
50,0,,,,,,,,,,,,,,,,,,,41.5595,1839.73,343.204,,,,,,,256.289,1878.87,53.2425,103.676,1349.41,424.442,,,,216.626,1331.4,56.6192,,,,,,,,,
51,0,,,,,,,,,,,,,,,,,,,45.454,1838,343.821,,,,,,,256.355,1878.82,53.2336,101.096,1349.03,424.513,,,,216.549,1331.44,56.5895,,,,,,,,,
52,0,,,,,,,,,,,,,,,,,,,50.2328,1836.33,344.587,,,,,,,256.422,1878.74,53.2316,98.8788,1348.47,424.816,,,,216.535,1331.48,56.5559,,,,,,,,,
53,0,,,,,,,,,,,,,,,,,,,55.6142,1834.73,345.031,,,,,,,256.496,1878.67,53.2362,97.0231,1348.09,425.172,,,,216.513,1331.52,56.5351,,,,,,,,,
54,0,,,,,,,,,,,,,,,,,,,61.9536,1833.32,345.74,,,,-19.697,1768.61,45.9264,256.567,1878.64,53.2685,95.1972,1347.55,425.407,,,,216.501,1331.61,56.531,,,,,,,,,
55,0,,,,,,,,,,,,,,,,,,,69.2274,1831.94,346.203,,,,-18.9033,1767.15,47.0158,256.584,1878.64,53.2125,93.7741,1347.12,425.482,,,,216.497,1331.73,56.4826,,,,,,,,,
56,0,,,,,,,,,,,,,,,,,,,77.2905,1830.66,346.621,,,,-19.0411,1765.83,47.6402,256.512,1878.76,53.0005,92.8656,1346.39,425.508,,,,216.528,1331.85,56.4179,,,,,,,,,
57,0,,,,,,,,,,,,,,,,,,,86.2663,1829.72,347.226,,,,-16.1805,1761.09,48.8244,256.282,1879.22,52.7328,91.8151,1345.77,425.363,,,,216.606,1331.96,56.3605,,,,,,,,,
58,0,,,,,,,,,,,,,,,,,,,96.0226,1829.09,347.923,40.7708,1846.55,38.8335,-14.107,1755.74,50.9222,256.037,1879.98,52.6649,91.0929,1345.36,425.258,,,,216.696,1332.08,56.2962,,,,,,,,,
59,0,,,,,,,,,,,,,,,,,,,105.953,1827.97,348.784,41.3603,1841.26,41.9358,-11.2976,1749.05,54.0788,255.833,1880.89,52.6493,90.2692,1344.78,425.111,,,,216.79,1332.22,56.1462,,,,,,,,,
60,0,,,,,,,,,,,,,,,,,,,116.23,1826.23,349.814,42.67,1835.83,46.1553,-7.79934,1743.53,55.8109,255.637,1882.03,52.7112,89.6544,1344.21,425.018,,,,216.932,1332.37,55.9658,,,,,,,,,
61,0,,,,,,,,,,,,,,,,,,,126.283,1823.87,351.056,45.5168,1830.34,51.0084,-2.65352,1735.03,58.6588,256.252,1882.84,53.7442,88.9277,1343.7,424.962,,,,217.11,1332.46,55.7748,,,,,,,,,
62,0,,,,,,,,,,,,,,,,,,,135.437,1821.16,352.725,51.2153,1824.97,55.9579,4.12316,1727.99,59.8822,258.488,1881.92,54.5997,88.343,1343.29,425.007,,,,217.311,1332.52,55.559,,,,,,,,,
63,0,,,,,,,,,,,,,,,,,,,143.113,1817.87,354.696,59.9581,1820.03,59.7151,,,,265.168,1876.59,55.6011,87.586,1342.72,425.078,,,,217.452,1332.53,55.3164,,,,,,,,,
64,0,,,,,,,,,,,,,,,,,,,150.281,1814.25,356.577,71.5883,1815.29,60.6314,,,,277.911,1867.02,57.5932,86.873,1342.23,425.101,,,,217.56,1332.55,55.1021,,,,,,,,,
